"Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank8","Rank9","Rank10","Experiment Name","Model","Prompt","Temperature","F1","Precision","Recall","Narratives"
"c6eb23c0-2d95-4862-a089-1f31b8d752fa","Indirect Indicators (T=0.2, Reasoning=High)","completed","mlx-community/gpt-oss-120b",0.2,"v0.3.2_indicators",400,404,0.807692307692308,0.875,"Indirect Indicators (T=0.2, Reasoning=High)","mlx-community/gpt-oss-120b","v0.3.2_indicators","0.20","0.808","0.750","0.875",400
"7bca6b0d-eb9d-4b16-a453-dad3af657211","Indicators v0.4.2 (T=0.0, Medium)","completed","mlx-community/gpt-oss-120b",0,"v0.4.2_indicators",404,404,0.784313725490196,0.833333333333333,"Indicators v0.4.2 (T=0.0, Medium)","mlx-community/gpt-oss-120b","v0.4.2_indicators","0.00","0.784","0.741","0.833",404
"d8a105c2-6b40-437d-ba5b-ecbd7bb9b917","Indicators v0.4.2 (T=0.0, High)","completed","mlx-community/gpt-oss-120b",0,"v0.4.2_indicators",404,404,0.783505154639175,0.791666666666667,"Indicators v0.4.2 (T=0.0, High)","mlx-community/gpt-oss-120b","v0.4.2_indicators","0.00","0.784","0.776","0.792",404
"3366e3ff-8ad0-45b6-b008-09b857ef7d91","Indirect Indicators (T=0.0, Reasoning=Medium)","completed","mlx-community/gpt-oss-120b",0,"v0.3.2_indicators",399,404,0.772277227722772,0.829787234042553,"Indirect Indicators (T=0.0, Reasoning=Medium)","mlx-community/gpt-oss-120b","v0.3.2_indicators","0.00","0.772","0.722","0.830",399
"ed486757-1476-43b9-89b8-5efe05cadc68","Indirect Indicators (T=0.0, Reasoning=High)","completed","mlx-community/gpt-oss-120b",0,"v0.3.2_indicators",400,404,0.772277227722772,0.8125,"Indirect Indicators (T=0.0, Reasoning=High)","mlx-community/gpt-oss-120b","v0.3.2_indicators","0.00","0.772","0.736","0.812",400
"37c36c33-4450-469e-89a1-c3da7cc859b5","Baseline + Victim Check (T=0.0, Reasoning=High)","completed","mlx-community/gpt-oss-120b",0,"v0.3.1_baseline",402,404,0.762886597938144,0.770833333333333,"Baseline + Victim Check (T=0.0, Reasoning=High)","mlx-community/gpt-oss-120b","v0.3.1_baseline","0.00","0.763","0.755","0.771",402
"ce17c220-44e7-45f8-8d58-460c6cfb5817","Indicators v0.4.2 (T=0.2, High)","completed","mlx-community/gpt-oss-120b",0.2,"v0.4.2_indicators",404,404,0.76,0.791666666666667,"Indicators v0.4.2 (T=0.2, High)","mlx-community/gpt-oss-120b","v0.4.2_indicators","0.20","0.760","0.731","0.792",404
"c3dc851a-d337-49bd-9bcf-7a14b42e1be8","Full Context (T=0.2, Reasoning=High)","completed","mlx-community/gpt-oss-120b",0.2,"v0.3.4_context",404,404,0.758620689655172,0.6875,"Full Context (T=0.2, Reasoning=High)","mlx-community/gpt-oss-120b","v0.3.4_context","0.20","0.759","0.846","0.688",404
"f87d8410-56f7-4a93-a558-af593ef4e8ad","Baseline + Victim Check (T=0.2, Reasoning=High)","completed","mlx-community/gpt-oss-120b",0.2,"v0.3.1_baseline",399,404,0.752688172043011,0.729166666666667,"Baseline + Victim Check (T=0.2, Reasoning=High)","mlx-community/gpt-oss-120b","v0.3.1_baseline","0.20","0.753","0.778","0.729",399
"60376368-2f1b-4b08-81a9-2f0ea815cd21","Test GPT-OSS-120B new prompt 2025-10-03","completed","mlx-community/gpt-oss-120b",0.2,"v0.2.1_April",404,404,0.74468085106383,0.729166666666667,"Test GPT-OSS-120B new prompt 2025-10-03","mlx-community/gpt-oss-120b","v0.2.1_April","0.20","0.745","0.761","0.729",404
